duration,terrain,area,rainfall
1.5,R,10.0,591.5830993448321
1.5,R,20.0,566.6270282529479
1.5,R,30.0,549.5323784232983
1.5,R,40.0,535.6741661462221
1.5,R,50.0,525.0496664923389
1.5,R,60.0,515.8117666174148
1.5,R,70.0,507.03671546152015
1.5,R,80.0,499.64709625770723
1.5,R,90.0,492.7199364972979
1.5,R,100.0,485.7935552881401
1.5,R,200.0,441.0019446856261
1.5,R,300.0,412.83590678372013
1.5,R,400.0,392.05870953437557
1.5,R,500.0,375.43741886565084
1.5,R,600.0,361.5862135498383
1.5,R,700.0,349.58251035388537
1.5,R,800.0,338.9638498343886
1.5,R,900.0,329.7302319913479
1.5,R,1000.0,321.41997593261135
2.0,R,1e-05,880.0
2.0,R,1.0,769.7950379205234
2.0,R,2.0,752.2204112443111
2.0,R,3.0,739.7378990286727
2.0,R,4.0,730.0317005759588
2.0,R,5.0,722.6362422377593
2.0,R,6.0,715.7048004454667
2.0,R,7.0,709.2362073722034
2.0,R,8.0,704.1530462510219
2.0,R,9.0,699.0710529567176
2.0,R,10.0,694.4511298301912
2.0,R,20.0,661.6531012573603
2.0,R,30.0,639.4842436459217
2.0,R,40.0,621.9356984366352
2.0,R,50.0,607.6208658505418
2.0,R,60.0,596.0765078929865
2.0,R,70.0,584.9949986544603
2.0,R,80.0,575.7602129845424
2.0,R,90.0,566.987886758028
2.0,R,100.0,559.6002139323439
2.0,R,200.0,506.5053542323569
2.0,R,300.0,474.18769178171453
2.0,R,400.0,452.02661968279114
2.0,R,500.0,434.9440373975401
2.0,R,600.0,420.170248848675
2.0,R,700.0,409.55042050230094
2.0,R,800.0,399.8543432158567
2.0,R,900.0,391.0820169893423
2.0,R,1000.0,382.7717609306057
2.5,R,1e-05,990.0
2.5,R,1.0,851.9053349378258
2.5,R,2.0,830.6399860537775
2.5,R,3.0,816.3123073720341
2.5,R,4.0,805.2222340697413
2.5,R,5.0,795.9816092654369
2.5,R,6.0,788.1275842400917
2.5,R,7.0,781.6589911668283
2.5,R,8.0,775.191955196068
2.5,R,9.0,770.1099619017638
2.5,R,10.0,765.028747158711
2.5,R,20.0,731.7694269693538
2.5,R,30.0,710.0618609744415
2.5,R,40.0,693.897190614734
2.5,R,50.0,680.5049412616931
2.5,R,60.0,668.4992916876114
2.5,R,70.0,657.4177824490853
2.5,R,80.0,648.6442883956936
2.5,R,90.0,639.8719621691791
2.5,R,100.0,631.5617061104426
2.5,R,200.0,575.2378050947716
2.5,R,300.0,539.6911013284454
2.5,R,400.0,513.8396962973118
2.5,R,500.0,493.0667810798506
2.5,R,600.0,474.6026595987753
2.5,R,700.0,459.36991508713845
2.5,R,800.0,446.44479648501033
2.5,R,900.0,434.9047205593383
2.5,R,1000.0,425.2105896510229
3.0,R,1e-05,1090.0
3.0,R,1.0,940.0120336943442
3.0,R,2.0,912.288602178928
3.0,R,3.0,895.6544654145531
3.0,R,4.0,882.7192256461552
3.0,R,5.0,872.0947259922721
3.0,R,6.0,863.3181177338741
3.0,R,7.0,855.4656498110321
3.0,R,8.0,848.5373222237454
3.0,R,9.0,842.0714540798624
3.0,R,10.0,836.9902393368096
3.0,R,20.0,797.2728365160847
3.0,R,30.0,771.8749375889622
3.0,R,40.0,752.0199342970443
3.0,R,50.0,736.7825184778984
3.0,R,60.0,723.3929940542379
3.0,R,70.0,711.8501931991855
3.0,R,80.0,701.2315326796887
3.0,R,90.0,692.4592064531744
3.0,R,100.0,683.6876587779116
3.0,R,200.0,622.7508415969778
3.0,R,300.0,584.8976797480202
3.0,R,400.0,556.278525017729
3.0,R,500.0,534.121734950689
3.0,R,600.0,514.7350302365611
3.0,R,700.0,498.5797024918718
3.0,R,800.0,485.19329227321737
3.0,R,900.0,470.88546664838765
3.0,R,1000.0,459.80746089049336
4.0,R,1e-05,1250.0
4.0,R,1.0,1065.0220617729642
4.0,R,2.0,1040.9889631897581
4.0,R,3.0,1024.8161180419097
4.0,R,4.0,1010.9582950404592
4.0,R,5.0,999.8725037700498
4.0,R,6.0,989.250729045547
4.0,R,7.0,980.9369695061785
4.0,R,8.0,972.1634754527868
4.0,R,9.0,965.2363156923774
4.0,R,10.0,958.771226099746
4.0,R,20.0,910.2892825650217
4.0,R,30.0,879.3558842395839
4.0,R,40.0,854.4266731658771
4.0,R,50.0,835.0376327979948
4.0,R,60.0,819.3416502917029
4.0,R,70.0,804.1085165044402
4.0,R,80.0,792.1059811353647
4.0,R,90.0,780.5659052096926
4.0,R,100.0,770.410482684851
4.0,R,200.0,702.5542912560232
4.0,R,300.0,661.0107964748554
4.0,R,400.0,630.546475278459
4.0,R,500.0,606.0832271287876
4.0,R,600.0,584.8513559485547
4.0,R,700.0,565.9282785047077
4.0,R,800.0,548.3902437373168
4.0,R,900.0,534.0824181124872
4.0,R,1000.0,518.8527878058565
5.0,R,1e-05,1360.0
5.0,R,1.0,1178.4997994384275
5.0,R,2.0,1148.9312014569064
5.0,R,3.0,1128.145440143795
5.0,R,4.0,1111.9811590597133
5.0,R,5.0,1099.0502013231985
5.0,R,6.0,1087.9671349821697
5.0,R,7.0,1077.8082089766958
5.0,R,8.0,1068.5734233067778
5.0,R,9.0,1060.723680313316
5.0,R,10.0,1052.8747158711058
5.0,R,20.0,1000.7024394041713
5.0,R,30.0,966.0787081465234
5.0,R,40.0,938.8430389901853
5.0,R,50.0,917.1475405396714
5.0,R,60.0,899.6063915672744
5.0,R,70.0,882.0667996973805
5.0,R,80.0,868.2190978621999
5.0,R,90.0,856.2177303200015
5.0,R,100.0,844.2171413290546
5.0,R,200.0,762.5222014044388
5.0,R,300.0,712.2141659092717
5.0,R,400.0,674.8304704649813
5.0,R,500.0,645.2930145335208
