area,zone,duration,depth
45.0,INLAND_S,36.0,1123.08
45.0,INLAND_S,48.0,1265.573
45.0,INLAND_S,72.0,1520.222
45.0,INLAND_S,96.0,1711.534
45.0,COAST_W,24.0,828.472
45.0,COAST_W,36.0,997.713
45.0,COAST_W,48.0,1095.443
45.0,COAST_W,72.0,1229.624
45.0,COAST_W,96.0,1268.477
45.0,COAST_W,120.0,1307.648
50.0,COAST_S,24.0,1342.73
50.0,COAST_S,36.0,1646.583
50.0,COAST_S,48.0,1924.235
50.0,COAST_S,72.0,2420.944
50.0,COAST_S,96.0,2721.098
50.0,COAST_S,120.0,2840.127
50.0,SWWA_W,24.0,584.335
50.0,SWWA_W,36.0,740.497
50.0,SWWA_W,48.0,779.665
50.0,SWWA_W,72.0,811.497
50.0,SWWA_W,96.0,842.454
50.0,INLAND_S,24.0,967.201
50.0,INLAND_S,36.0,1120.558
50.0,INLAND_S,48.0,1263.579
50.0,INLAND_S,72.0,1515.533
50.0,INLAND_S,96.0,1706.762
50.0,COAST_W,24.0,827.39
50.0,COAST_W,36.0,996.723
50.0,COAST_W,48.0,1094.437
50.0,COAST_W,72.0,1228.586
50.0,COAST_W,96.0,1266.748
50.0,COAST_W,120.0,1306.179
55.0,COAST_S,24.0,1340.695
55.0,COAST_S,36.0,1643.859
55.0,COAST_S,48.0,1920.994
55.0,COAST_S,72.0,2417.006
55.0,COAST_S,96.0,2716.344
55.0,COAST_S,120.0,2837.023
55.0,SWWA_W,24.0,583.812
55.0,SWWA_W,36.0,739.357
55.0,SWWA_W,48.0,778.982
55.0,SWWA_W,72.0,810.704
55.0,SWWA_W,96.0,841.572
55.0,INLAND_S,24.0,965.818
55.0,INLAND_S,36.0,1118.184
55.0,INLAND_S,48.0,1260.265
55.0,INLAND_S,72.0,1511.597
55.0,INLAND_S,96.0,1703.242
55.0,COAST_W,24.0,826.761
55.0,COAST_W,36.0,995.724
55.0,COAST_W,48.0,1093.464
55.0,COAST_W,72.0,1227.485
55.0,COAST_W,96.0,1265.474
55.0,COAST_W,120.0,1304.692
60.0,COAST_S,24.0,1338.766
60.0,COAST_S,36.0,1641.224
60.0,COAST_S,48.0,1917.855
60.0,COAST_S,72.0,2413.126
60.0,COAST_S,96.0,2711.603
60.0,COAST_S,120.0,2833.027
60.0,SWWA_W,24.0,583.417
60.0,SWWA_W,36.0,738.768
60.0,SWWA_W,48.0,778.347
60.0,SWWA_W,72.0,809.987
60.0,SWWA_W,96.0,840.672
60.0,INLAND_S,24.0,964.519
60.0,INLAND_S,36.0,1115.936
60.0,INLAND_S,48.0,1257.11
60.0,INLAND_S,72.0,1507.385
60.0,INLAND_S,96.0,1698.942
60.0,COAST_W,24.0,825.599
60.0,COAST_W,36.0,994.719
60.0,COAST_W,48.0,1092.522
60.0,COAST_W,72.0,1226.34
60.0,COAST_W,96.0,1264.669
60.0,COAST_W,120.0,1304.197
65.0,COAST_S,24.0,1336.936
65.0,COAST_S,36.0,1638.675
65.0,COAST_S,48.0,1914.81
65.0,COAST_S,72.0,2409.297
65.0,COAST_S,96.0,2706.892
65.0,COAST_S,120.0,2829.135
65.0,SWWA_W,24.0,583.039
65.0,SWWA_W,36.0,738.212
65.0,SWWA_W,48.0,777.745
65.0,SWWA_W,72.0,809.127
65.0,SWWA_W,96.0,839.835
65.0,INLAND_S,24.0,963.29
65.0,INLAND_S,36.0,1113.797
65.0,INLAND_S,48.0,1254.095
65.0,INLAND_S,72.0,1503.377
65.0,INLAND_S,96.0,1694.338
65.0,COAST_W,24.0,824.911
65.0,COAST_W,36.0,993.709
65.0,COAST_W,48.0,1091.605
65.0,COAST_W,72.0,1226.162
65.0,COAST_W,96.0,1263.344
65.0,COAST_W,120.0,1302.701
70.0,COAST_S,24.0,1335.197
70.0,COAST_S,36.0,1636.208
70.0,COAST_S,48.0,1911.849
70.0,COAST_S,72.0,2405.517
70.0,COAST_S,96.0,2702.222
70.0,COAST_S,120.0,2824.346
70.0,SWWA_W,24.0,582.672
70.0,SWWA_W,36.0,737.478
70.0,SWWA_W,48.0,776.964
70.0,SWWA_W,72.0,808.11
70.0,SWWA_W,96.0,839.148
70.0,INLAND_S,24.0,962.121
70.0,INLAND_S,36.0,1111.754
70.0,INLAND_S,48.0,1251.207
70.0,INLAND_S,72.0,1500.053
70.0,INLAND_S,96.0,1690.408
70.0,COAST_W,24.0,824.706
70.0,COAST_W,36.0,992.695
70.0,COAST_W,48.0,1090.713
70.0,COAST_W,72.0,1224.961
70.0,COAST_W,96.0,1263.008
70.0,COAST_W,120.0,1301.209
75.0,COAST_S,24.0,1333.542
75.0,COAST_S,36.0,1633.818
75.0,COAST_S,48.0,1908.967
75.0,COAST_S,72.0,2401.783
75.0,COAST_S,96.0,2699.603
75.0,COAST_S,120.0,2821.656
75.0,SWWA_W,24.0,582.311
75.0,SWWA_W,36.0,736.659
75.0,SWWA_W,48.0,776.199
75.0,SWWA_W,72.0,807.226
75.0,SWWA_W,96.0,838.201
75.0,INLAND_S,24.0,961.004
75.0,INLAND_S,36.0,1109.797
75.0,INLAND_S,48.0,1248.734
75.0,INLAND_S,72.0,1496.898
75.0,INLAND_S,96.0,1686.636
75.0,COAST_W,24.0,823.489
75.0,COAST_W,36.0,991.678
75.0,COAST_W,48.0,1089.842
75.0,COAST_W,72.0,1223.746
75.0,COAST_W,96.0,1262.666
75.0,COAST_W,120.0,1300.725
80.0,COAST_S,24.0,1331.964
80.0,COAST_S,36.0,1631.502
80.0,COAST_S,48.0,1907.159
80.0,COAST_S,72.0,2398.094
80.0,COAST_S,96.0,2696.042
80.0,COAST_S,120.0,2817.062
80.0,SWWA_W,24.0,581.953
80.0,SWWA_W,36.0,735.649
80.0,SWWA_W,48.0,775.444
80.0,SWWA_W,72.0,806.168
80.0,SWWA_W,96.0,837.585
80.0,INLAND_S,24.0,959.932
80.0,INLAND_S,36.0,1107.916
80.0,INLAND_S,48.0,1246.766
80.0,INLAND_S,72.0,1494.898
80.0,INLAND_S,96.0,1684.509
80.0,COAST_W,24.0,822.265
80.0,COAST_W,36.0,990.66
80.0,COAST_W,48.0,1088.991
80.0,COAST_W,72.0,1222.523
80.0,COAST_W,96.0,1261.325
80.0,COAST_W,120.0,1299.253
85.0,COAST_S,24.0,1331.658
85.0,COAST_S,36.0,1629.254
85.0,COAST_S,48.0,1904.418
