area,zone,duration,depth
8.5,GSAM_IS,48.0,535.99
8.5,GSAM_IS,72.0,580.364
8.5,GSAM_IS,96.0,601.602
9.0,GSAM_CA,24.0,580.615
9.0,GSAM_CA,36.0,712.667
9.0,GSAM_CA,48.0,836.914
9.0,GSAM_CA,72.0,1056.014
9.0,GSAM_CA,96.0,1131.581
9.0,GSAM_CS,24.0,881.536
9.0,GSAM_CS,36.0,987.402
9.0,GSAM_CS,48.0,1038.731
9.0,GSAM_CS,72.0,1085.636
9.0,GSAM_CS,96.0,1122.881
9.0,GSAM_IA,24.0,683.559
9.0,GSAM_IA,36.0,791.122
9.0,GSAM_IA,48.0,850.4
9.0,GSAM_IA,72.0,899.431
9.0,GSAM_IA,96.0,916.597
9.0,GSAM_IS,24.0,480.191
9.0,GSAM_IS,36.0,513.063
9.0,GSAM_IS,48.0,535.33
9.0,GSAM_IS,72.0,579.663
9.0,GSAM_IS,96.0,601.041
9.5,GSAM_CA,24.0,579.786
9.5,GSAM_CA,36.0,711.813
9.5,GSAM_CA,48.0,835.933
9.5,GSAM_CA,72.0,1054.878
9.5,GSAM_CA,96.0,1130.257
9.5,GSAM_CS,24.0,879.996
9.5,GSAM_CS,36.0,985.662
9.5,GSAM_CS,48.0,1036.934
9.5,GSAM_CS,72.0,1083.731
9.5,GSAM_CS,96.0,1120.89
9.5,GSAM_IA,24.0,682.833
9.5,GSAM_IA,36.0,790.072
9.5,GSAM_IA,48.0,849.175
9.5,GSAM_IA,72.0,898.191
9.5,GSAM_IA,96.0,915.273
9.5,GSAM_IS,24.0,479.684
9.5,GSAM_IS,36.0,512.519
9.5,GSAM_IS,48.0,534.705
9.5,GSAM_IS,72.0,578.998
9.5,GSAM_IS,96.0,600.508
10.0,GSAM_CA,24.0,579.0
10.0,GSAM_CA,36.0,711.0
10.0,GSAM_CA,48.0,835.0
10.0,GSAM_CA,72.0,1053.802
10.0,GSAM_CA,96.0,1129.0
10.0,GSAM_CS,24.0,878.535
10.0,GSAM_CS,36.0,984.0
10.0,GSAM_CS,48.0,1035.228
10.0,GSAM_CS,72.0,1081.924
10.0,GSAM_CS,96.0,1119.0
10.0,GSAM_IA,24.0,682.14
10.0,GSAM_IA,36.0,789.073
10.0,GSAM_IA,48.0,848.0
10.0,GSAM_IA,72.0,897.0
10.0,GSAM_IA,96.0,914.0
10.0,GSAM_IS,24.0,479.2
10.0,GSAM_IS,36.0,512.0
10.0,GSAM_IS,48.0,534.112
10.0,GSAM_IS,72.0,578.367
10.0,GSAM_IS,96.0,600.0
15.0,GSAM_CA,24.0,572.795
15.0,GSAM_CA,36.0,704.418
15.0,GSAM_CA,48.0,827.499
15.0,GSAM_CA,72.0,1045.149
15.0,GSAM_CA,96.0,1119.167
15.0,GSAM_CS,24.0,866.555
15.0,GSAM_CS,36.0,970.202
15.0,GSAM_CS,48.0,1021.434
15.0,GSAM_CS,72.0,1067.522
15.0,GSAM_CS,96.0,1103.898
15.0,GSAM_IA,24.0,676.454
15.0,GSAM_IA,36.0,781.01
15.0,GSAM_IA,48.0,838.516
15.0,GSAM_IA,72.0,887.28
15.0,GSAM_IA,96.0,903.662
15.0,GSAM_IS,24.0,475.247
15.0,GSAM_IS,36.0,507.76
15.0,GSAM_IS,48.0,529.381
15.0,GSAM_IS,72.0,573.217
15.0,GSAM_IS,96.0,595.859
20.0,GSAM_CA,24.0,568.373
20.0,GSAM_CA,36.0,699.588
20.0,GSAM_CA,48.0,822.04
20.0,GSAM_CA,72.0,1038.846
20.0,GSAM_CA,96.0,1112.291
20.0,GSAM_CS,24.0,857.54
20.0,GSAM_CS,36.0,959.678
20.0,GSAM_CS,48.0,1011.198
20.0,GSAM_CS,72.0,1057.051
20.0,GSAM_CS,96.0,1092.945
20.0,GSAM_IA,24.0,672.219
20.0,GSAM_IA,36.0,775.125
20.0,GSAM_IA,48.0,831.638
20.0,GSAM_IA,72.0,880.126
20.0,GSAM_IA,96.0,896.102
20.0,GSAM_IS,24.0,472.318
20.0,GSAM_IS,36.0,504.598
20.0,GSAM_IS,48.0,525.936
20.0,GSAM_IS,72.0,569.391
20.0,GSAM_IS,96.0,592.781
25.0,GSAM_CA,24.0,564.912
25.0,GSAM_CA,36.0,695.763
25.0,GSAM_CA,48.0,817.737
25.0,GSAM_CA,72.0,1033.876
25.0,GSAM_CA,96.0,1106.995
25.0,GSAM_CS,24.0,850.253
25.0,GSAM_CS,36.0,951.101
25.0,GSAM_CS,48.0,1002.937
25.0,GSAM_CS,72.0,1048.695
25.0,GSAM_CS,96.0,1084.284
25.0,GSAM_IA,24.0,668.838
25.0,GSAM_IA,36.0,770.486
25.0,GSAM_IA,48.0,826.236
25.0,GSAM_IA,72.0,874.457
25.0,GSAM_IA,96.0,890.135
25.0,GSAM_IS,24.0,469.987
25.0,GSAM_IS,36.0,502.064
25.0,GSAM_IS,48.0,523.182
25.0,GSAM_IS,72.0,566.338
25.0,GSAM_IS,96.0,590.318
30.0,GSAM_CA,24.0,562.054
30.0,GSAM_CA,36.0,692.594
30.0,GSAM_CA,48.0,814.18
30.0,GSAM_CA,72.0,1029.769
30.0,GSAM_CA,96.0,1102.681
30.0,GSAM_CS,24.0,844.108
30.0,GSAM_CS,36.0,943.828
30.0,GSAM_CS,48.0,995.951
30.0,GSAM_CS,72.0,1041.672
30.0,GSAM_CS,96.0,1077.085
30.0,GSAM_IA,24.0,666.023
30.0,GSAM_IA,36.0,766.657
30.0,GSAM_IA,48.0,821.785
30.0,GSAM_IA,72.0,869.761
30.0,GSAM_IA,96.0,885.203
30.0,GSAM_IS,24.0,468.05
30.0,GSAM_IS,36.0,499.944
30.0,GSAM_IS,48.0,520.865
30.0,GSAM_IS,72.0,563.795
30.0,GSAM_IS,96.0,588.257
35.0,GSAM_CA,24.0,559.612
35.0,GSAM_CA,36.0,689.886
35.0,GSAM_CA,48.0,811.146
35.0,GSAM_CA,72.0,1026.266
35.0,GSAM_CA,96.0,1099.039
35.0,GSAM_CS,24.0,838.779
35.0,GSAM_CS,36.0,937.495
35.0,GSAM_CS,48.0,989.86
35.0,GSAM_CS,72.0,1035.572
35.0,GSAM_CS,96.0,1070.904
35.0,GSAM_IA,24.0,663.613
35.0,GSAM_IA,36.0,763.399
35.0,GSAM_IA,48.0,818.001
35.0,GSAM_IA,72.0,865.753
35.0,GSAM_IA,96.0,881.001
35.0,GSAM_IS,24.0,466.392
35.0,GSAM_IS,36.0,498.118
35.0,GSAM_IS,48.0,518.849
35.0,GSAM_IS,72.0,561.614
35.0,GSAM_IS,96.0,586.482
40.0,GSAM_CA,24.0,557.473
40.0,GSAM_CA,36.0,687.522
40.0,GSAM_CA,48.0,808.501
40.0,GSAM_CA,72.0,1023.211
40.0,GSAM_CA,96.0,1095.883
40.0,GSAM_CS,24.0,834.064
40.0,GSAM_CS,36.0,931.874
40.0,GSAM_CS,48.0,984.437
40.0,GSAM_CS,72.0,1030.152
40.0,GSAM_CS,96.0,1065.475
40.0,GSAM_IA,24.0,661.505
40.0,GSAM_IA,36.0,760.564
40.0,GSAM_IA,48.0,814.711
40.0,GSAM_IA,72.0,862.258
40.0,GSAM_IA,96.0,877.342
40.0,GSAM_IS,24.0,464.944
40.0,GSAM_IS,36.0,496.514
40.0,GSAM_IS,48.0,517.057
40.0,GSAM_IS,72.0,559.704
40.0,GSAM_IS,96.0,584.92
45.0,GSAM_CA,24.0,555.566
45.0,GSAM_CA,36.0,685.426
45.0,GSAM_CA,48.0,806.155
45.0,GSAM_CA,72.0,1020.503
45.0,GSAM_CA,96.0,1093.097
45.0,GSAM_CS,24.0,829.829
45.0,GSAM_CS,36.0,926.813
45.0,GSAM_CS,48.0,979.533
45.0,GSAM_CS,72.0,1025.256
45.0,GSAM_CS,96.0,1060.624
45.0,GSAM_IA,24.0,659.634
45.0,GSAM_IA,36.0,758.057
45.0,GSAM_IA,48.0,811.801
45.0,GSAM_IA,72.0,859.161
45.0,GSAM_IA,96.0,874.101
45.0,GSAM_IS,24.0,463.658
45.0,GSAM_IS,36.0,495.082
45.0,GSAM_IS,48.0,515.436
45.0,GSAM_IS,72.0,558.005
45.0,GSAM_IS,96.0,583.525
50.0,GSAM_CA,24.0,553.843
50.0,GSAM_CA,36.0,683.541
50.0,GSAM_CA,48.0,804.047
50.0,GSAM_CA,72.0,1018.07
50.0,GSAM_CA,96.0,1090.602
50.0,GSAM_CS,24.0,825.98
50.0,GSAM_CS,36.0,922.204
50.0,GSAM_CS,48.0,975.045
50.0,GSAM_CS,72.0,1020.778
50.0,GSAM_CS,96.0,1056.234
50.0,GSAM_IA,24.0,657.951
50.0,GSAM_IA,36.0,755.81
50.0,GSAM_IA,48.0,809.193
50.0,GSAM_IA,72.0,856.381
50.0,GSAM_IA,96.0,871.194
50.0,GSAM_IS,24.0,462.503
50.0,GSAM_IS,36.0,493.788
50.0,GSAM_IS,48.0,513.952
50.0,GSAM_IS,72.0,556.475
50.0,GSAM_IS,96.0,582.263
55.0,GSAM_CA,24.0,552.269
55.0,GSAM_CA,36.0,681.83
55.0,GSAM_CA,48.0,802.133
55.0,GSAM_CA,72.0,1015.862
55.0,GSAM_CA,96.0,1088.34
55.0,GSAM_CS,24.0,822.449
55.0,GSAM_CS,36.0,917.969
55.0,GSAM_CS,48.0,970.9
55.0,GSAM_CS,72.0,1016.642
55.0,GSAM_CS,96.0,1052.219
55.0,GSAM_IA,24.0,656.423
55.0,GSAM_IA,36.0,753.775
55.0,GSAM_IA,48.0,806.83
55.0,GSAM_IA,72.0,853.859
55.0,GSAM_IA,96.0,868.56
55.0,GSAM_IS,24.0,461.454
55.0,GSAM_IS,36.0,492.607
55.0,GSAM_IS,48.0,512.58
55.0,GSAM_IS,72.0,555.084
55.0,GSAM_IS,96.0,581.11
60.0,GSAM_CA,24.0,550.819
60.0,GSAM_CA,36.0,680.263
60.0,GSAM_CA,48.0,800.38
60.0,GSAM_CA,72.0,1013.84
60.0,GSAM_CA,96.0,1086.271
60.0,GSAM_CS,24.0,819.185
60.0,GSAM_CS,36.0,914.049
60.0,GSAM_CS,48.0,967.043
60.0,GSAM_CS,72.0,1012.792
60.0,GSAM_CS,96.0,1048.517
60.0,GSAM_IA,24.0,655.024
60.0,GSAM_IA,36.0,751.917
60.0,GSAM_IA,48.0,804.672
60.0,GSAM_IA,72.0,851.554
60.0,GSAM_IA,96.0,866.151
60.0,GSAM_IS,24.0,460.493
60.0,GSAM_IS,36.0,491.521
60.0,GSAM_IS,48.0,511.302
60.0,GSAM_IS,72.0,553.807
60.0,GSAM_IS,96.0,580.049
65.0,GSAM_CA,24.0,549.472
65.0,GSAM_CA,36.0,678.818
65.0,GSAM_CA,48.0,798.763
65.0,GSAM_CA,72.0,1011.976
65.0,GSAM_CA,96.0,1084.363
65.0,GSAM_CS,24.0,816.147
65.0,GSAM_CS,36.0,910.397
65.0,GSAM_CS,48.0,963.43
65.0,GSAM_CS,72.0,1009.184
65.0,GSAM_CS,96.0,1045.078
65.0,GSAM_IA,24.0,653.735
65.0,GSAM_IA,36.0,750.207
65.0,GSAM_IA,48.0,802.686
65.0,GSAM_IA,72.0,849.431
65.0,GSAM_IA,96.0,863.934
